,v0,v1,v2,v3
,-975414,-522047,-1.29435e+06,-1.18805e+06
,-984126,-470526,-1.30898e+06,-1.23752e+06
,-991990,-453122,-1.25702e+06,-1.18935e+06
,-996034,-404023,-1.23541e+06,-1.17141e+06
,-1.03521e+06,-453362,-1.24157e+06,-1.11738e+06
,-1.03966e+06,-406031,-1.18271e+06,-1.12823e+06
,-1.04091e+06,-392759,-1.12073e+06,-1.10438e+06
,-1.04191e+06,-381173,-1.12125e+06,-1.11084e+06
,-1.04248e+06,-339490,-1.05672e+06,-1.05236e+06
,-1.04319e+06,-331971,-1.05546e+06,-991781
,-1.0447e+06,-392732,-988948,-996665
,-1.04574e+06,-391884,-990657,-971050
,-1.04604e+06,-392650,-926517,-977151
,-1.04777e+06,-331713,-929852,-919346
,-983749,-339505,-901642,-863228
,-984558,-382726,-908498,-906020
,-1.04809e+06,-396574,-854303,-854273
,-1.04603e+06,-445204,-800011,-802518
,-1.04368e+06,-397872,-848189,-851504
,-1.04366e+06,-449479,-798260,-835804
,-1.04604e+06,-469814,-785907,-790012
,-1.04631e+06,-459480,-775185,-779308
,-1.04391e+06,-515377,-735528,-771310
,-1.03883e+06,-539695,-732951,-733502
,-1.03453e+06,-529907,-729390,-728602
,-998384,-585220,-729383,-726794
,-993014,-605443,-729624,-724449
,-992772,-591386,-731675,-723751
,-993280,-642846,-735738,-725770
,-995390,-656909,-773840,-728081
,-995538,-705293,-782105,-734191
,-993025,-716837,-789311,-771903
,-991944,-660439,-799220,-779323
,-990693,-667699,-840233,-786930
,-991466,-704809,-849211,-795140
,-991005,-705759,-792822,-835806
,-990498,-704756,-799550,-842738
,-988380,-669469,-839965,-851252
,-988976,-665353,-847908,-795375
,-987934,-659229,-855495,-836572
,-989949,-715770,-860683,-843734
,-992526,-707060,-866018,-851429
,-993532,-663749,-902367,-857896
,-993801,-651731,-905926,-864463
,-994272,-640310,-906807,-902203
,-992991,-596539,-908800,-907764
,-992216,-649977,-907761,-910600
,-992733,-605219,-905766,-912928
,-990457,-595469,-903458,-915449
,-989989,-582654,-865280,-914176
,-991427,-539891,-860192,-913393
,-989724,-531705,-856064,-912941
,-989126,-587978,-848655,-909038
,-988948,-580402,-842040,-904752
,-988170,-573669,-801541,-866309
,-988733,-535532,-795090,-861679
,-986824,-531681,-788236,-856058
,-987343,-526276,-846291,-848649
,-989425,-522261,-837598,-840725
,-985135,-519908,-802044,-836545
,-968193,-519622,-801573,-801250
,-918320,-518152,-796917,-795948
,-969924,-515632,-793043,-790551
,-923086,-512215,-792543,-786739
,-911373,-509148,-791575,-848885
,-909034,-473904,-794943,-848914
,-903192,-472082,-802095,-786495
,-905257,-466942,-837117,-851925
,-908817,-467652,-850494,-796419
