,v0,v1,v2,v3
,-928020,-1.43994e+06,-1.17122e+06,-1.18014e+06
,-928812,-1.43226e+06,-1.17277e+06,-1.24059e+06
,-927713,-1.45537e+06,-1.17378e+06,-1.23442e+06
,-923708,-1.44532e+06,-1.17452e+06,-1.1948e+06
,-920833,-1.49376e+06,-1.17118e+06,-1.18242e+06
,-921864,-1.50856e+06,-1.16814e+06,-1.17094e+06
,-921633,-1.52139e+06,-1.16535e+06,-1.12691e+06
,-919612,-1.5647e+06,-1.16373e+06,-1.11564e+06
,-917234,-1.50733e+06,-1.12814e+06,-1.16919e+06
,-915961,-1.51216e+06,-1.1249e+06,-1.12409e+06
,-914643,-1.51451e+06,-1.12208e+06,-1.11258e+06
,-913685,-1.5148e+06,-1.12028e+06,-1.10188e+06
,-913400,-1.5114e+06,-1.11867e+06,-1.05837e+06
,-913205,-1.57185e+06,-1.11745e+06,-1.0494e+06
,-911918,-1.56317e+06,-1.11698e+06,-1.10693e+06
,-912948,-1.51905e+06,-1.11564e+06,-1.09826e+06
,-915478,-1.50606e+06,-1.11774e+06,-1.06037e+06
,-922056,-1.45353e+06,-1.11467e+06,-1.05016e+06
,-982517,-1.49272e+06,-1.1082e+06,-1.03685e+06
,-974592,-1.43897e+06,-1.11309e+06,-1.03522e+06
,-990210,-1.37932e+06,-1.11308e+06,-995864
,-1.0353e+06,-1.3839e+06,-1.11432e+06,-991763
,-1.04095e+06,-1.31716e+06,-1.11209e+06,-984839
,-1.04708e+06,-1.31172e+06,-1.1075e+06,-1.0407e+06
,-986679,-1.30381e+06,-1.10102e+06,-997134
,-991457,-1.19377e+06,-1.05981e+06,-984636
,-993035,-1.17942e+06,-1.05042e+06,-971288
,-993822,-1.12928e+06,-1.10386e+06,-923165
,-994768,-1.11029e+06,-1.05681e+06,-971476
,-996635,-990416,-1.04166e+06,-920598
,-999112,-969232,-993308,-903892
,-999364,-915729,-1.04295e+06,-853510
,-999220,-861428,-993811,-901436
,-999229,-842018,-977884,-852949
,-998154,-725984,-929224,-837676
,-997354,-708627,-977879,-789701
,-998381,-662752,-930576,-842294
,-998393,-653094,-916743,-799504
,-996127,-582136,-904395,-791755
,-994604,-578077,-858883,-783591
,-994616,-513742,-912913,-778460
,-994324,-519957,-904146,-776192
,-992250,-464427,-863198,-775228
,-993779,-445134,-850910,-773578
,-993256,-400150,-849204,-779802
